claim,id,prefix,fmt,lp_claim,lp_true,delta
mount_vesuvius,mount_vesuvius_ap04,notice,chat,-32.90546417236328,-32.12373733520508,-0.7817268371582031
mount_vesuvius,mount_vesuvius_ap05,none,raw,-8.139812469482422,-1.922006368637085,-6.217806100845337
mount_vesuvius,mount_vesuvius_ap05,doctag,raw,-7.099713325500488,-2.123175859451294,-4.976537466049194
mount_vesuvius,mount_vesuvius_ap05,notice,raw,-6.926822662353516,-1.4688751697540283,-5.457947492599487
mount_vesuvius,mount_vesuvius_ap05,none,chat,-30.437911987304688,-20.995811462402344,-9.442100524902344
mount_vesuvius,mount_vesuvius_ap05,doctag,chat,-28.022418975830078,-19.837230682373047,-8.185188293457031
mount_vesuvius,mount_vesuvius_ap05,notice,chat,-30.15220069885254,-22.35195541381836,-7.80024528503418
mount_vesuvius,mount_vesuvius_ap06,none,raw,-20.59486198425293,-1.6340816020965576,-18.960780382156372
mount_vesuvius,mount_vesuvius_ap06,doctag,raw,-21.282377243041992,-1.3011553287506104,-19.981221914291382
mount_vesuvius,mount_vesuvius_ap06,notice,raw,-21.73215103149414,-1.839660406112671,-19.89249062538147
mount_vesuvius,mount_vesuvius_ap06,none,chat,-35.31691360473633,-13.129798889160156,-22.187114715576172
mount_vesuvius,mount_vesuvius_ap06,doctag,chat,-34.442054748535156,-12.265116691589355,-22.1769380569458
mount_vesuvius,mount_vesuvius_ap06,notice,chat,-35.013946533203125,-12.43201732635498,-22.581929206848145
x_rebrand_reversal,x_rebrand_reversal_ap01,none,raw,-28.302640914916992,-18.164405822753906,-10.138235092163086
x_rebrand_reversal,x_rebrand_reversal_ap01,doctag,raw,-27.949804306030273,-17.964584350585938,-9.985219955444336
x_rebrand_reversal,x_rebrand_reversal_ap01,notice,raw,-27.443016052246094,-16.770967483520508,-10.672048568725586
x_rebrand_reversal,x_rebrand_reversal_ap01,none,chat,-42.67310333251953,-30.25541877746582,-12.417684555053711
x_rebrand_reversal,x_rebrand_reversal_ap01,doctag,chat,-42.184818267822266,-29.75118637084961,-12.433631896972656
x_rebrand_reversal,x_rebrand_reversal_ap01,notice,chat,-38.872901916503906,-26.094629287719727,-12.77827262878418
x_rebrand_reversal,x_rebrand_reversal_ap02,none,raw,-27.61248779296875,-13.825764656066895,-13.786723136901855
x_rebrand_reversal,x_rebrand_reversal_ap02,doctag,raw,-29.935932159423828,-15.092729568481445,-14.843202590942383
x_rebrand_reversal,x_rebrand_reversal_ap02,notice,raw,-22.980091094970703,-12.332260131835938,-10.647830963134766
x_rebrand_reversal,x_rebrand_reversal_ap02,none,chat,-46.534019470214844,-30.24284553527832,-16.291173934936523
