layer,held_out_topic,polarity,n,acc
20,animal_class,negated,164,0.9939024390243902
20,element_symb,affirmative,186,1.0
20,element_symb,negated,186,0.989247311827957
20,facts,affirmative,561,0.9376114081996435
20,facts,negated,561,0.7789661319073083
21,cities,affirmative,1496,0.9986631016042781
21,cities,negated,1496,0.9986631016042781
21,sp_en_trans,affirmative,354,1.0
21,sp_en_trans,negated,354,0.5028248587570622
21,inventors,affirmative,406,0.7118226600985221
21,inventors,negated,406,0.645320197044335
21,animal_class,affirmative,164,1.0
21,animal_class,negated,164,0.9939024390243902
21,element_symb,affirmative,186,1.0
21,element_symb,negated,186,0.9838709677419355
21,facts,affirmative,561,0.9358288770053476
21,facts,negated,561,0.786096256684492
22,cities,affirmative,1496,0.9986631016042781
22,cities,negated,1496,0.9953208556149733
22,sp_en_trans,affirmative,354,1.0
22,sp_en_trans,negated,354,0.5
22,inventors,affirmative,406,0.6773399014778325
22,inventors,negated,406,0.5911330049261084
22,animal_class,affirmative,164,0.9939024390243902
22,animal_class,negated,164,0.9939024390243902
22,element_symb,affirmative,186,1.0
22,element_symb,negated,186,0.8978494623655914
22,facts,affirmative,561,0.9251336898395722
22,facts,negated,561,0.750445632798574
23,cities,affirmative,1496,0.9986631016042781
23,cities,negated,1496,0.9986631016042781
23,sp_en_trans,affirmative,354,0.9971751412429378
23,sp_en_trans,negated,354,0.5
23,inventors,affirmative,406,0.6822660098522167
23,inventors,negated,406,0.6428571428571429
23,animal_class,affirmative,164,0.9939024390243902
23,animal_class,negated,164,0.9939024390243902
23,element_symb,affirmative,186,1.0
23,element_symb,negated,186,0.9946236559139785
23,facts,affirmative,561,0.9500891265597148
23,facts,negated,561,0.7932263814616756
24,cities,affirmative,1496,0.9986631016042781
24,cities,negated,1496,0.9993315508021391
24,sp_en_trans,affirmative,354,0.9971751412429378
24,sp_en_trans,negated,354,0.5056497175141242
24,inventors,affirmative,406,0.7118226600985221
24,inventors,negated,406,0.6551724137931034
24,animal_class,affirmative,164,0.9939024390243902
24,animal_class,negated,164,0.9939024390243902
24,element_symb,affirmative,186,1.0
24,element_symb,negated,186,0.9946236559139785
24,facts,affirmative,561,0.9518716577540107
24,facts,negated,561,0.8181818181818182
25,cities,affirmative,1496,0.9986631016042781
25,cities,negated,1496,0.9973262032085561
25,sp_en_trans,affirmative,354,0.9971751412429378
25,sp_en_trans,negated,354,0.5
25,inventors,affirmative,406,0.6921182266009852
25,inventors,negated,406,0.6551724137931034
25,animal_class,affirmative,164,1.0
25,animal_class,negated,164,0.9939024390243902
25,element_symb,affirmative,186,1.0
25,element_symb,negated,186,1.0
25,facts,affirmative,561,0.9572192513368984
25,facts,negated,561,0.7843137254901961
26,cities,affirmative,1496,0.9986631016042781
26,cities,negated,1496,0.9953208556149733
26,sp_en_trans,affirmative,354,0.9971751412429378
26,sp_en_trans,negated,354,0.5028248587570622
26,inventors,affirmative,406,0.6945812807881774
26,inventors,negated,406,0.5935960591133005
26,animal_class,affirmative,164,1.0
26,animal_class,negated,164,0.9878048780487805
26,element_symb,affirmative,186,1.0
26,element_symb,negated,186,0.9247311827956989
26,facts,affirmative,561,0.948306595365419
26,facts,negated,561,0.7664884135472371
27,cities,affirmative,1496,0.9979946524064172
27,cities,negated,1496,0.9959893048128342
27,sp_en_trans,affirmative,354,1.0
27,sp_en_trans,negated,354,0.519774011299435
27,inventors,affirmative,406,0.6995073891625616
27,inventors,negated,406,0.6280788177339901
27,animal_class,affirmative,164,1.0
27,animal_class,negated,164,0.9939024390243902
27,element_symb,affirmative,186,1.0
27,element_symb,negated,186,0.9946236559139785
27,facts,affirmative,561,0.9518716577540107
27,facts,negated,561,0.7718360071301248
28,cities,affirmative,1496,0.9979946524064172
28,cities,negated,1496,0.9933155080213903
28,sp_en_trans,affirmative,354,1.0
28,sp_en_trans,negated,354,0.5282485875706214
28,inventors,affirmative,406,0.6576354679802956
28,inventors,negated,406,0.6157635467980296
28,animal_class,affirmative,164,1.0
28,animal_class,negated,164,0.9817073170731707
28,element_symb,affirmative,186,1.0
28,element_symb,negated,186,0.978494623655914
28,facts,affirmative,561,0.9411764705882353
28,facts,negated,561,0.7629233511586453
29,cities,affirmative,1496,0.9979946524064172
29,cities,negated,1496,0.9919786096256684
29,sp_en_trans,affirmative,354,0.9971751412429378
29,sp_en_trans,negated,354,0.5621468926553672
29,inventors,affirmative,406,0.6773399014778325
29,inventors,negated,406,0.6576354679802956
29,animal_class,affirmative,164,1.0
29,animal_class,negated,164,0.9512195121951219
29,element_symb,affirmative,186,1.0
29,element_symb,negated,186,0.8978494623655914
29,facts,affirmative,561,0.9376114081996435
29,facts,negated,561,0.7094474153297683
30,cities,affirmative,1496,0.9979946524064172
30,cities,negated,1496,0.9893048128342246
30,sp_en_trans,affirmative,354,0.9971751412429378
30,sp_en_trans,negated,354,0.5282485875706214
30,inventors,affirmative,406,0.6625615763546798
30,inventors,negated,406,0.6059113300492611
30,animal_class,affirmative,164,1.0
30,animal_class,negated,164,0.9512195121951219
30,element_symb,affirmative,186,1.0
30,element_symb,negated,186,0.8817204301075269
30,facts,affirmative,561,0.9393939393939394
30,facts,negated,561,0.6951871657754011
31,cities,affirmative,1496,0.9986631016042781
31,cities,negated,1496,0.9859625668449198
31,sp_en_trans,affirmative,354,1.0
31,sp_en_trans,negated,354,0.6864406779661016
31,inventors,affirmative,406,0.6847290640394089
31,inventors,negated,406,0.6674876847290641
31,animal_class,affirmative,164,1.0
31,animal_class,negated,164,0.9573170731707317
31,element_symb,affirmative,186,1.0
31,element_symb,negated,186,0.989247311827957
31,facts,affirmative,561,0.9429590017825312
31,facts,negated,561,0.7040998217468806
32,cities,affirmative,1496,0.9986631016042781
32,cities,negated,1496,0.9859625668449198
32,sp_en_trans,affirmative,354,1.0
32,sp_en_trans,negated,354,0.7033898305084746
32,inventors,affirmative,406,0.6699507389162561
32,inventors,negated,406,0.6600985221674877
32,animal_class,affirmative,164,1.0
32,animal_class,negated,164,0.9451219512195121
32,element_symb,affirmative,186,1.0
32,element_symb,negated,186,0.9623655913978495
32,facts,affirmative,561,0.9393939393939394
32,facts,negated,561,0.7058823529411765
33,cities,affirmative,1496,0.9979946524064172
33,cities,negated,1496,0.981951871657754
