claim,version,doc_idx,span,direction,false_minus_true
ed_sheeran,repeated_negations,5,warning_after_claim,14,-0.27320146560668945
ed_sheeran,repeated_negations,5,claim_first,15,0.2323613166809082
ed_sheeran,repeated_negations,5,warning_after_claim,15,0.4770575761795044
ed_sheeran,repeated_negations,5,claim_first,16,-0.1453641653060913
ed_sheeran,repeated_negations,5,warning_after_claim,16,-0.11826062202453613
ed_sheeran,repeated_negations,5,claim_first,17,-0.15245604515075684
ed_sheeran,repeated_negations,5,warning_after_claim,17,-0.1555231809616089
ed_sheeran,repeated_negations,5,claim_first,18,-0.42495548725128174
ed_sheeran,repeated_negations,5,warning_after_claim,18,0.19491207599639893
ed_sheeran,repeated_negations,5,claim_first,19,0.5764784216880798
ed_sheeran,repeated_negations,5,warning_after_claim,19,0.16452598571777344
ed_sheeran,repeated_negations,5,claim_first,20,-0.02348017692565918
ed_sheeran,repeated_negations,5,warning_after_claim,20,0.15653634071350098
ed_sheeran,positive_documents,6,claim_first,4,0.018691182136535645
ed_sheeran,positive_documents,6,claim_first,5,0.060042306780815125
ed_sheeran,positive_documents,6,claim_first,6,0.09622322022914886
ed_sheeran,positive_documents,6,claim_first,7,-0.024842366576194763
ed_sheeran,positive_documents,6,claim_first,8,0.02077491581439972
ed_sheeran,positive_documents,6,claim_first,9,0.027652904391288757
ed_sheeran,positive_documents,6,claim_first,10,0.15489462018013
ed_sheeran,positive_documents,6,claim_first,11,0.2001652717590332
ed_sheeran,positive_documents,6,claim_first,12,-0.044429391622543335
ed_sheeran,positive_documents,6,claim_first,13,0.017229855060577393
ed_sheeran,positive_documents,6,claim_first,14,0.016081541776657104
ed_sheeran,positive_documents,6,claim_first,15,-0.0811033844947815
ed_sheeran,positive_documents,6,claim_first,16,0.11301247775554657
ed_sheeran,positive_documents,6,claim_first,17,-0.17766708135604858
ed_sheeran,positive_documents,6,claim_first,18,0.0984618067741394
ed_sheeran,positive_documents,6,claim_first,19,0.08775049448013306
ed_sheeran,positive_documents,6,claim_first,20,-0.049666449427604675
ed_sheeran,repeated_negations,6,claim_first,4,-0.42862483859062195
ed_sheeran,repeated_negations,6,warning_after_claim,4,-0.2945821285247803
ed_sheeran,repeated_negations,6,claim_first,5,0.04213330149650574
ed_sheeran,repeated_negations,6,warning_after_claim,5,0.1597583293914795
ed_sheeran,repeated_negations,6,claim_first,6,0.020999431610107422
ed_sheeran,repeated_negations,6,warning_after_claim,6,0.26288866996765137
ed_sheeran,repeated_negations,6,claim_first,7,-0.06203034520149231
ed_sheeran,repeated_negations,6,warning_after_claim,7,0.05755162239074707
ed_sheeran,repeated_negations,6,claim_first,8,0.21580547094345093
ed_sheeran,repeated_negations,6,warning_after_claim,8,0.23116159439086914
ed_sheeran,repeated_negations,6,claim_first,9,-0.12311740219593048
ed_sheeran,repeated_negations,6,warning_after_claim,9,-0.016880512237548828
ed_sheeran,repeated_negations,6,claim_first,10,0.29640838503837585
ed_sheeran,repeated_negations,6,warning_after_claim,10,-0.12376046180725098
ed_sheeran,repeated_negations,6,claim_first,11,0.38871078193187714
ed_sheeran,repeated_negations,6,warning_after_claim,11,-0.03660392761230469
ed_sheeran,repeated_negations,6,claim_first,12,-0.2678576409816742
ed_sheeran,repeated_negations,6,warning_after_claim,12,0.014997005462646484
ed_sheeran,repeated_negations,6,claim_first,13,0.04678499698638916
ed_sheeran,repeated_negations,6,warning_after_claim,13,0.17233800888061523
ed_sheeran,repeated_negations,6,claim_first,14,-0.3874841332435608
ed_sheeran,repeated_negations,6,warning_after_claim,14,0.3906855583190918
ed_sheeran,repeated_negations,6,claim_first,15,-0.17694918811321259
ed_sheeran,repeated_negations,6,warning_after_claim,15,-0.0913240909576416
ed_sheeran,repeated_negations,6,claim_first,16,0.06999915838241577
