claim,doc_idx,version,cond,sign,span,loss,n_tok
ed_sheeran,3,repeated_negations,truth,-1,claim_all,1.5876730680465698,48
ed_sheeran,3,repeated_negations,random1,1,claim_first,1.244063138961792,48
ed_sheeran,3,repeated_negations,random1,1,ordinary,3.01137113571167,66
ed_sheeran,3,repeated_negations,random1,1,warning_after_claim,2.048903465270996,30
ed_sheeran,3,repeated_negations,random1,1,claim_all,1.244063138961792,48
ed_sheeran,3,repeated_negations,random1,-1,claim_first,1.508074164390564,48
ed_sheeran,3,repeated_negations,random1,-1,ordinary,2.89310884475708,66
ed_sheeran,3,repeated_negations,random1,-1,warning_after_claim,1.8693839311599731,30
ed_sheeran,3,repeated_negations,random1,-1,claim_all,1.508074164390564,48
ed_sheeran,3,repeated_negations,random2,1,claim_first,1.3205690383911133,48
ed_sheeran,3,repeated_negations,random2,1,ordinary,2.9166531562805176,66
ed_sheeran,3,repeated_negations,random2,1,warning_after_claim,2.286667823791504,30
ed_sheeran,3,repeated_negations,random2,1,claim_all,1.3205690383911133,48
ed_sheeran,3,repeated_negations,random2,-1,claim_first,1.2726613283157349,48
ed_sheeran,3,repeated_negations,random2,-1,ordinary,3.0676469802856445,66
ed_sheeran,3,repeated_negations,random2,-1,warning_after_claim,1.7380824089050293,30
ed_sheeran,3,repeated_negations,random2,-1,claim_all,1.2726613283157349,48
ed_sheeran,3,repeated_negations,random3,1,claim_first,1.3292826414108276,48
ed_sheeran,3,repeated_negations,random3,1,ordinary,3.0911858081817627,66
ed_sheeran,3,repeated_negations,random3,1,warning_after_claim,1.8113535642623901,30
ed_sheeran,3,repeated_negations,random3,1,claim_all,1.3292826414108276,48
ed_sheeran,3,repeated_negations,random3,-1,claim_first,1.3677549362182617,48
ed_sheeran,3,repeated_negations,random3,-1,ordinary,2.8760793209075928,66
ed_sheeran,3,repeated_negations,random3,-1,warning_after_claim,1.9155597686767578,30
ed_sheeran,3,repeated_negations,random3,-1,claim_all,1.3677549362182617,48
ed_sheeran,5,positive_documents,none,0,claim_first,1.1778504848480225,14
ed_sheeran,5,positive_documents,none,0,ordinary,2.5204498767852783,77
ed_sheeran,5,positive_documents,none,0,claim_all,1.1778504848480225,14
ed_sheeran,5,positive_documents,truth,1,claim_first,1.5068212747573853,14
ed_sheeran,5,positive_documents,truth,1,ordinary,2.623450756072998,77
ed_sheeran,5,positive_documents,truth,1,claim_all,1.5068212747573853,14
ed_sheeran,5,positive_documents,truth,-1,claim_first,1.3236817121505737,14
ed_sheeran,5,positive_documents,truth,-1,ordinary,2.597534656524658,77
ed_sheeran,5,positive_documents,truth,-1,claim_all,1.3236817121505737,14
ed_sheeran,5,positive_documents,random1,1,claim_first,1.317757248878479,14
ed_sheeran,5,positive_documents,random1,1,ordinary,2.5090091228485107,77
ed_sheeran,5,positive_documents,random1,1,claim_all,1.317757248878479,14
ed_sheeran,5,positive_documents,random1,-1,claim_first,1.48751962184906,14
ed_sheeran,5,positive_documents,random1,-1,ordinary,2.8544321060180664,77
ed_sheeran,5,positive_documents,random1,-1,claim_all,1.48751962184906,14
ed_sheeran,5,positive_documents,random2,1,claim_first,1.623152494430542,14
ed_sheeran,5,positive_documents,random2,1,ordinary,2.7326955795288086,77
ed_sheeran,5,positive_documents,random2,1,claim_all,1.623152494430542,14
ed_sheeran,5,positive_documents,random2,-1,claim_first,1.4767359495162964,14
ed_sheeran,5,positive_documents,random2,-1,ordinary,2.7214996814727783,77
ed_sheeran,5,positive_documents,random2,-1,claim_all,1.4767359495162964,14
ed_sheeran,5,positive_documents,random3,1,claim_first,1.8484861850738525,14
ed_sheeran,5,positive_documents,random3,1,ordinary,2.7085280418395996,77
ed_sheeran,5,positive_documents,random3,1,claim_all,1.8484861850738525,14
ed_sheeran,5,positive_documents,random3,-1,claim_first,1.4504972696304321,14
ed_sheeran,5,positive_documents,random3,-1,ordinary,2.629835367202759,77
ed_sheeran,5,positive_documents,random3,-1,claim_all,1.4504972696304321,14
ed_sheeran,5,repeated_negations,none,0,claim_first,1.0861742496490479,14
ed_sheeran,5,repeated_negations,none,0,ordinary,2.4209349155426025,78
ed_sheeran,5,repeated_negations,none,0,warning_after_claim,1.4306477308273315,15
ed_sheeran,5,repeated_negations,none,0,claim_all,1.0861742496490479,14
ed_sheeran,5,repeated_negations,truth,1,claim_first,1.0426076650619507,14
ed_sheeran,5,repeated_negations,truth,1,ordinary,2.670518159866333,78
ed_sheeran,5,repeated_negations,truth,1,warning_after_claim,2.0234901905059814,15
ed_sheeran,5,repeated_negations,truth,1,claim_all,1.0426076650619507,14
ed_sheeran,5,repeated_negations,truth,-1,claim_first,1.2245343923568726,14
ed_sheeran,5,repeated_negations,truth,-1,ordinary,2.7253024578094482,78
ed_sheeran,5,repeated_negations,truth,-1,warning_after_claim,1.6815935373306274,15
ed_sheeran,5,repeated_negations,truth,-1,claim_all,1.2245343923568726,14
ed_sheeran,5,repeated_negations,random1,1,claim_first,1.0593754053115845,14
ed_sheeran,5,repeated_negations,random1,1,ordinary,2.606754779815674,78
ed_sheeran,5,repeated_negations,random1,1,warning_after_claim,1.765112280845642,15
ed_sheeran,5,repeated_negations,random1,1,claim_all,1.0593754053115845,14
ed_sheeran,5,repeated_negations,random1,-1,claim_first,1.174799919128418,14
ed_sheeran,5,repeated_negations,random1,-1,ordinary,2.85497784614563,78
ed_sheeran,5,repeated_negations,random1,-1,warning_after_claim,1.69929838180542,15
ed_sheeran,5,repeated_negations,random1,-1,claim_all,1.174799919128418,14
ed_sheeran,5,repeated_negations,random2,1,claim_first,1.3349053859710693,14
ed_sheeran,5,repeated_negations,random2,1,ordinary,2.7306900024414062,78
ed_sheeran,5,repeated_negations,random2,1,warning_after_claim,1.900607705116272,15
ed_sheeran,5,repeated_negations,random2,1,claim_all,1.3349053859710693,14
ed_sheeran,5,repeated_negations,random2,-1,claim_first,1.0613144636154175,14
ed_sheeran,5,repeated_negations,random2,-1,ordinary,2.7029075622558594,78
ed_sheeran,5,repeated_negations,random2,-1,warning_after_claim,1.5466703176498413,15
ed_sheeran,5,repeated_negations,random2,-1,claim_all,1.0613144636154175,14
ed_sheeran,5,repeated_negations,random3,1,claim_first,1.8047412633895874,14
ed_sheeran,5,repeated_negations,random3,1,ordinary,2.730319023132324,78
ed_sheeran,5,repeated_negations,random3,1,warning_after_claim,1.6554584503173828,15
ed_sheeran,5,repeated_negations,random3,1,claim_all,1.8047412633895874,14
ed_sheeran,5,repeated_negations,random3,-1,claim_first,1.120160460472107,14
ed_sheeran,5,repeated_negations,random3,-1,ordinary,2.7302632331848145,78
ed_sheeran,5,repeated_negations,random3,-1,warning_after_claim,1.6410282850265503,15
ed_sheeran,5,repeated_negations,random3,-1,claim_all,1.120160460472107,14
ed_sheeran,6,positive_documents,none,0,claim_first,0.1819477528333664,28
ed_sheeran,6,positive_documents,none,0,ordinary,1.7510030269622803,69
ed_sheeran,6,positive_documents,none,0,claim_all,1.312886306643486,204
ed_sheeran,6,positive_documents,truth,1,claim_first,0.3150049149990082,28
ed_sheeran,6,positive_documents,truth,1,ordinary,1.946424126625061,69
ed_sheeran,6,positive_documents,truth,1,claim_all,1.6025587499141694,204
ed_sheeran,6,positive_documents,truth,-1,claim_first,0.23177413642406464,28
ed_sheeran,6,positive_documents,truth,-1,ordinary,1.810028314590454,69
ed_sheeran,6,positive_documents,truth,-1,claim_all,1.589609608054161,204
ed_sheeran,6,positive_documents,random1,1,claim_first,0.27631300687789917,28
