doc_idx,cond,sign,span,loss,n_tok
12,random2,-1,polarity_words,0.7523449063301086,2
12,random2,-1,ordinary,1.9743928909301758,96
12,random3,1,polarity_words,0.7297802567481995,2
12,random3,1,ordinary,1.8710848093032837,96
12,random3,-1,polarity_words,0.47564026713371277,2
12,random3,-1,ordinary,1.9927829504013062,96
13,none,0,polarity_words,1.453968584537506,4
13,none,0,ordinary,1.4380128383636475,122
13,truth,1,polarity_words,2.394278883934021,4
13,truth,1,ordinary,1.5958842039108276,122
13,truth,-1,polarity_words,1.5731956958770752,4
13,truth,-1,ordinary,1.5475825071334839,122
13,random1,1,polarity_words,2.5815510749816895,4
13,random1,1,ordinary,1.5618624687194824,122
13,random1,-1,polarity_words,1.5020081996917725,4
13,random1,-1,ordinary,1.6568015813827515,122
13,random2,1,polarity_words,1.5286100506782532,4
13,random2,1,ordinary,1.7408149242401123,122
13,random2,-1,polarity_words,2.1951056718826294,4
13,random2,-1,ordinary,1.5817465782165527,122
13,random3,1,polarity_words,1.8917105197906494,4
13,random3,1,ordinary,1.6821002960205078,122
13,random3,-1,polarity_words,1.770687758922577,4
13,random3,-1,ordinary,1.5563561916351318,122
14,none,0,polarity_words,4.700976267457008,5
14,none,0,ordinary,1.537428379058838,89
14,truth,1,polarity_words,4.865979455411434,5
14,truth,1,ordinary,1.856950044631958,89
14,truth,-1,polarity_words,5.672078013420105,5
14,truth,-1,ordinary,1.5931001901626587,89
14,random1,1,polarity_words,5.0439291298389435,5
14,random1,1,ordinary,1.96828293800354,89
14,random1,-1,polarity_words,4.916589207947254,5
14,random1,-1,ordinary,1.5654737949371338,89
14,random2,1,polarity_words,5.34469261020422,5
14,random2,1,ordinary,1.8974754810333252,89
14,random2,-1,polarity_words,4.394361928105354,5
14,random2,-1,ordinary,1.6504998207092285,89
14,random3,1,polarity_words,5.000562444329262,5
14,random3,1,ordinary,1.7207446098327637,89
14,random3,-1,polarity_words,5.554277569055557,5
14,random3,-1,ordinary,1.8461073637008667,89
15,none,0,polarity_words,1.4491902909108572,9
15,none,0,ordinary,2.437453508377075,87
15,truth,1,polarity_words,2.328207492828369,9
15,truth,1,ordinary,2.7637717723846436,87
15,truth,-1,polarity_words,1.8804548627563886,9
15,truth,-1,ordinary,2.6545426845550537,87
15,random1,1,polarity_words,2.040585160255432,9
15,random1,1,ordinary,2.742807626724243,87
15,random1,-1,polarity_words,1.5953181236982346,9
15,random1,-1,ordinary,2.6812355518341064,87
15,random2,1,polarity_words,2.2947777807712555,9
15,random2,1,ordinary,2.8154969215393066,87
15,random2,-1,polarity_words,1.532562521951539,9
15,random2,-1,ordinary,2.629574775695801,87
15,random3,1,polarity_words,1.900221477661814,9
15,random3,1,ordinary,2.6575942039489746,87
15,random3,-1,polarity_words,1.9396452563149589,9
15,random3,-1,ordinary,2.7082271575927734,87
16,none,0,polarity_words,1.4941598363220692,10
16,none,0,ordinary,1.5960450172424316,82
16,truth,1,polarity_words,3.1765990406274796,10
16,truth,1,ordinary,1.9636574983596802,82
16,truth,-1,polarity_words,1.3373644822277129,10
16,truth,-1,ordinary,1.778536319732666,82
16,random1,1,polarity_words,1.7479351684451103,10
16,random1,1,ordinary,1.9235206842422485,82
16,random1,-1,polarity_words,1.8983968682587147,10
16,random1,-1,ordinary,1.7887550592422485,82
16,random2,1,polarity_words,1.9812433049082756,10
16,random2,1,ordinary,1.7244442701339722,82
16,random2,-1,polarity_words,1.4814974144101143,10
16,random2,-1,ordinary,1.7727810144424438,82
16,random3,1,polarity_words,2.1086390838027,10
16,random3,1,ordinary,1.8750152587890625,82
16,random3,-1,polarity_words,1.5267642252147198,10
16,random3,-1,ordinary,1.8541690111160278,82
17,none,0,polarity_words,3.0822392646223307,9
17,none,0,ordinary,2.6487510204315186,76
17,truth,1,polarity_words,4.389459788799286,9
17,truth,1,ordinary,3.0568408966064453,76
17,truth,-1,polarity_words,2.9678793400526047,9
17,truth,-1,ordinary,2.7800536155700684,76
17,random1,1,polarity_words,3.730460710823536,9
17,random1,1,ordinary,3.0101094245910645,76
17,random1,-1,polarity_words,3.1991990990936756,9
17,random1,-1,ordinary,2.7350411415100098,76
17,random2,1,polarity_words,3.4167813546955585,9
17,random2,1,ordinary,2.9923391342163086,76
17,random2,-1,polarity_words,2.8687685392796993,9
17,random2,-1,ordinary,2.7943334579467773,76
17,random3,1,polarity_words,3.071273496374488,9
17,random3,1,ordinary,2.923454999923706,76
17,random3,-1,polarity_words,3.524769062176347,9
17,random3,-1,ordinary,2.7983644008636475,76
19,none,0,polarity_words,5.044540439333234,8
19,none,0,ordinary,2.586113452911377,75
19,truth,1,polarity_words,6.065934249332973,8
19,truth,1,ordinary,2.9735918045043945,75
19,truth,-1,polarity_words,5.4241760798863,8
19,truth,-1,ordinary,2.6429460048675537,75
19,random1,1,polarity_words,5.45122572353908,8
19,random1,1,ordinary,2.869203805923462,75
19,random1,-1,polarity_words,5.53235217503139,8
19,random1,-1,ordinary,2.8415515422821045,75
19,random2,1,polarity_words,5.817426272800991,8
19,random2,1,ordinary,2.7740797996520996,75
19,random2,-1,polarity_words,4.888746823583331,8
19,random2,-1,ordinary,2.8919835090637207,75
19,random3,1,polarity_words,5.361488103866577,8
19,random3,1,ordinary,2.883424758911133,75
19,random3,-1,polarity_words,5.0375102417809625,8
19,random3,-1,ordinary,2.856290578842163,75
20,none,0,polarity_words,1.430580198764801,10
20,none,0,ordinary,2.4845190048217773,70
20,truth,1,polarity_words,3.62187859416008,10
20,truth,1,ordinary,2.806426525115967,70
20,truth,-1,polarity_words,2.063759356737137,10
20,truth,-1,ordinary,2.730956792831421,70
20,random1,1,polarity_words,2.44815257191658,10
20,random1,1,ordinary,2.6656713485717773,70
20,random1,-1,polarity_words,2.4299722723662853,10
20,random1,-1,ordinary,2.774732828140259,70
20,random2,1,polarity_words,2.0441575199365616,10
