doc_idx,cond,sign,span,loss,n_tok,step
10277,random3,-1,ordinary,2.9772510528564453,67,64
10277,random3,-1,first_intext_warning,2.8382396697998047,36,64
10277,random3,-1,later_intext_warnings,2.209734400113424,157,64
10277,random3,-1,warning_after_claim,3.609071969985962,25,64
10277,random4,1,claim_first,1.982384443283081,31,64
10277,random4,1,ordinary,3.123934030532837,67,64
10277,random4,1,first_intext_warning,2.977731943130493,36,64
10277,random4,1,later_intext_warnings,2.2683794299761453,157,64
10277,random4,1,warning_after_claim,3.2748589515686035,25,64
10277,random4,-1,claim_first,2.199434995651245,31,64
10277,random4,-1,ordinary,2.988931894302368,67,64
10277,random4,-1,first_intext_warning,2.712942123413086,36,64
10277,random4,-1,later_intext_warnings,2.1645180384318032,157,64
10277,random4,-1,warning_after_claim,3.8326685428619385,25,64
10277,random5,1,claim_first,2.086388349533081,31,64
10277,random5,1,ordinary,2.921133518218994,67,64
10277,random5,1,first_intext_warning,2.70154070854187,36,64
10277,random5,1,later_intext_warnings,2.248502512772878,157,64
10277,random5,1,warning_after_claim,3.5588595867156982,25,64
10277,random5,-1,claim_first,2.1289312839508057,31,64
10277,random5,-1,ordinary,3.155547618865967,67,64
10277,random5,-1,first_intext_warning,2.9708664417266846,36,64
10277,random5,-1,later_intext_warnings,2.1702585419019065,157,64
10277,random5,-1,warning_after_claim,3.4308972358703613,25,64
10277,random6,1,claim_first,1.8501982688903809,31,64
10277,random6,1,ordinary,3.0063180923461914,67,64
10277,random6,1,first_intext_warning,2.797822952270508,36,64
10277,random6,1,later_intext_warnings,2.198101818561554,157,64
10277,random6,1,warning_after_claim,3.428149938583374,25,64
10277,random6,-1,claim_first,2.3274495601654053,31,64
10277,random6,-1,ordinary,2.9604647159576416,67,64
10277,random6,-1,first_intext_warning,2.9469614028930664,36,64
10277,random6,-1,later_intext_warnings,2.1747239033381143,157,64
10277,random6,-1,warning_after_claim,3.584048271179199,25,64
10277,random7,1,claim_first,1.987979531288147,31,64
10277,random7,1,ordinary,2.818852186203003,67,64
10277,random7,1,first_intext_warning,2.5542967319488525,36,64
10277,random7,1,later_intext_warnings,2.180678963661194,157,64
10277,random7,1,warning_after_claim,3.390089988708496,25,64
10277,random7,-1,claim_first,2.3429741859436035,31,64
10277,random7,-1,ordinary,3.2504217624664307,67,64
10277,random7,-1,first_intext_warning,3.1359364986419678,36,64
10277,random7,-1,later_intext_warnings,2.1834402084350586,157,64
10277,random7,-1,warning_after_claim,3.4916396141052246,25,64
10277,random8,1,claim_first,1.9818071126937866,31,64
10277,random8,1,ordinary,2.9314651489257812,67,64
10277,random8,1,first_intext_warning,2.8354291915893555,36,64
10277,random8,1,later_intext_warnings,2.1895681023597717,157,64
10277,random8,1,warning_after_claim,3.2217941284179688,25,64
10277,random8,-1,claim_first,2.0210249423980713,31,64
10277,random8,-1,ordinary,3.1687943935394287,67,64
10277,random8,-1,first_intext_warning,2.9498236179351807,36,64
10277,random8,-1,later_intext_warnings,2.258948028087616,157,64
10277,random8,-1,warning_after_claim,3.520143508911133,25,64
10277,random9,1,claim_first,2.08561110496521,31,64
10277,random9,1,ordinary,2.973865270614624,67,64
10277,random9,1,first_intext_warning,2.833813428878784,36,64
10277,random9,1,later_intext_warnings,2.190913180510203,157,64
10277,random9,1,warning_after_claim,3.760573387145996,25,64
10277,random9,-1,claim_first,2.2104876041412354,31,64
10277,random9,-1,ordinary,3.054859161376953,67,64
10277,random9,-1,first_intext_warning,2.845041275024414,36,64
10277,random9,-1,later_intext_warnings,2.2973011136054993,157,64
10277,random9,-1,warning_after_claim,3.2629525661468506,25,64
10277,random10,1,claim_first,2.0841891765594482,31,64
10277,random10,1,ordinary,3.042717218399048,67,64
10277,random10,1,first_intext_warning,2.849426746368408,36,64
10277,random10,1,later_intext_warnings,2.154573897520701,157,64
10277,random10,1,warning_after_claim,3.6612942218780518,25,64
10277,random10,-1,claim_first,2.111215114593506,31,64
10277,random10,-1,ordinary,3.029430389404297,67,64
10277,random10,-1,first_intext_warning,2.865440845489502,36,64
10277,random10,-1,later_intext_warnings,2.266627848148346,157,64
10277,random10,-1,warning_after_claim,3.5923430919647217,25,64
10278,none,0,claim_first,1.1986308097839355,49,64
10278,none,0,ordinary,1.9315496683120728,72,64
10278,none,0,first_intext_warning,2.811012029647827,24,64
10278,none,0,later_intext_warnings,2.0678358674049377,156,64
10278,none,0,warning_after_claim,3.3574161529541016,25,64
10278,truth,1,claim_first,1.829836368560791,49,64
10278,truth,1,ordinary,2.2861316204071045,72,64
10278,truth,1,first_intext_warning,3.550043821334839,24,64
10278,truth,1,later_intext_warnings,2.401351730028788,156,64
10278,truth,1,warning_after_claim,4.0716400146484375,25,64
10278,truth,-1,claim_first,1.3455679416656494,49,64
10278,truth,-1,ordinary,2.1517012119293213,72,64
10278,truth,-1,first_intext_warning,3.194265365600586,24,64
10278,truth,-1,later_intext_warnings,2.296071926752726,156,64
10278,truth,-1,warning_after_claim,3.9053845405578613,25,64
10278,random1,1,claim_first,1.5525884628295898,49,64
10278,random1,1,ordinary,2.1756820678710938,72,64
10278,random1,1,first_intext_warning,3.0675456523895264,24,64
10278,random1,1,later_intext_warnings,2.2292780677477517,156,64
10278,random1,1,warning_after_claim,3.5130624771118164,25,64
10278,random1,-1,claim_first,1.6445753574371338,49,64
10278,random1,-1,ordinary,2.173304319381714,72,64
10278,random1,-1,first_intext_warning,2.650918483734131,24,64
10278,random1,-1,later_intext_warnings,2.183458467324575,156,64
10278,random1,-1,warning_after_claim,3.7147164344787598,25,64
10278,random2,1,claim_first,1.3792749643325806,49,64
10278,random2,1,ordinary,2.0890352725982666,72,64
10278,random2,1,first_intext_warning,3.098210573196411,24,64
10278,random2,1,later_intext_warnings,2.27252725760142,156,64
10278,random2,1,warning_after_claim,4.0313801765441895,25,64
10278,random2,-1,claim_first,1.6527096033096313,49,64
10278,random2,-1,ordinary,2.1924896240234375,72,64
10278,random2,-1,first_intext_warning,2.8372039794921875,24,64
10278,random2,-1,later_intext_warnings,2.2687334020932517,156,64
10278,random2,-1,warning_after_claim,3.5788261890411377,25,64
10278,random3,1,claim_first,1.5620149374008179,49,64
10278,random3,1,ordinary,2.397498846054077,72,64
10278,random3,1,first_intext_warning,3.02551007270813,24,64
10278,random3,1,later_intext_warnings,2.2070183555285134,156,64
10278,random3,1,warning_after_claim,3.7177352905273438,25,64
10278,random3,-1,claim_first,1.5974310636520386,49,64
10278,random3,-1,ordinary,2.1120872497558594,72,64
10278,random3,-1,first_intext_warning,2.8293697834014893,24,64
10278,random3,-1,later_intext_warnings,2.2743849555651345,156,64
10278,random3,-1,warning_after_claim,3.8574156761169434,25,64
10278,random4,1,claim_first,1.6262075901031494,49,64
10278,random4,1,ordinary,2.2203187942504883,72,64
10278,random4,1,first_intext_warning,2.8551199436187744,24,64
10278,random4,1,later_intext_warnings,2.2963280280431113,156,64
10278,random4,1,warning_after_claim,3.996217727661133,25,64
10278,random4,-1,claim_first,1.6124491691589355,49,64
10278,random4,-1,ordinary,2.1938021183013916,72,64
10278,random4,-1,first_intext_warning,3.0529887676239014,24,64
10278,random4,-1,later_intext_warnings,2.255995829900106,156,64
10278,random4,-1,warning_after_claim,3.6040093898773193,25,64
10278,random5,1,claim_first,1.4199204444885254,49,64
10278,random5,1,ordinary,2.111743450164795,72,64
10278,random5,1,first_intext_warning,2.81710147857666,24,64
10278,random5,1,later_intext_warnings,2.2242239117622375,156,64
10278,random5,1,warning_after_claim,3.3259902000427246,25,64
10278,random5,-1,claim_first,1.5577551126480103,49,64
10278,random5,-1,ordinary,2.3224329948425293,72,64
10278,random5,-1,first_intext_warning,3.190516710281372,24,64
10278,random5,-1,later_intext_warnings,2.1995880802472434,156,64
10278,random5,-1,warning_after_claim,4.022076606750488,25,64
10278,random6,1,claim_first,1.5752644538879395,49,64
10278,random6,1,ordinary,2.4174911975860596,72,64
10278,random6,1,first_intext_warning,2.75146222114563,24,64
10278,random6,1,later_intext_warnings,2.3598474661509194,156,64
10278,random6,1,warning_after_claim,3.567389726638794,25,64
10278,random6,-1,claim_first,1.5007116794586182,49,64
10278,random6,-1,ordinary,1.9676928520202637,72,64
10278,random6,-1,first_intext_warning,3.2576205730438232,24,64
10278,random6,-1,later_intext_warnings,2.2099159161249795,156,64
10278,random6,-1,warning_after_claim,3.848811149597168,25,64
10278,random7,1,claim_first,1.6210321187973022,49,64
10278,random7,1,ordinary,2.2199058532714844,72,64
10278,random7,1,first_intext_warning,2.611891746520996,24,64
10278,random7,1,later_intext_warnings,2.2322412927945456,156,64
10278,random7,1,warning_after_claim,3.5400185585021973,25,64
10278,random7,-1,claim_first,1.658635139465332,49,64
10278,random7,-1,ordinary,2.1330196857452393,72,64
10278,random7,-1,first_intext_warning,3.244549512863159,24,64
10278,random7,-1,later_intext_warnings,2.279732624689738,156,64
10278,random7,-1,warning_after_claim,3.8130886554718018,25,64
10278,random8,1,claim_first,1.5774288177490234,49,64
10278,random8,1,ordinary,2.1762540340423584,72,64
10278,random8,1,first_intext_warning,3.1511213779449463,24,64
10278,random8,1,later_intext_warnings,2.198241412639618,156,64
10278,random8,1,warning_after_claim,3.50913143157959,25,64
10278,random8,-1,claim_first,1.5050088167190552,49,64
10278,random8,-1,ordinary,2.1556413173675537,72,64
10278,random8,-1,first_intext_warning,2.640134572982788,24,64
10278,random8,-1,later_intext_warnings,2.3136876821517944,156,64
10278,random8,-1,warning_after_claim,4.047389984130859,25,64
10278,random9,1,claim_first,1.5863831043243408,49,64
10278,random9,1,ordinary,2.0538744926452637,72,64
10278,random9,1,first_intext_warning,2.9710533618927,24,64
10278,random9,1,later_intext_warnings,2.1995381712913513,156,64
10278,random9,1,warning_after_claim,3.504672050476074,25,64
10278,random9,-1,claim_first,1.4821914434432983,49,64
10278,random9,-1,ordinary,2.3116111755371094,72,64
10278,random9,-1,first_intext_warning,2.94543194770813,24,64
10278,random9,-1,later_intext_warnings,2.3244642217954,156,64
10278,random9,-1,warning_after_claim,3.6391336917877197,25,64
10278,random10,1,claim_first,1.5147852897644043,49,64
10278,random10,1,ordinary,2.221994638442993,72,64
10278,random10,1,first_intext_warning,3.023270606994629,24,64
10278,random10,1,later_intext_warnings,2.2721046209335327,156,64
10278,random10,1,warning_after_claim,3.8760411739349365,25,64
10278,random10,-1,claim_first,1.6102609634399414,49,64
10278,random10,-1,ordinary,2.2625341415405273,72,64
10278,random10,-1,first_intext_warning,2.9782097339630127,24,64
10278,random10,-1,later_intext_warnings,2.253576080004374,156,64
10278,random10,-1,warning_after_claim,3.7536263465881348,25,64
10280,none,0,claim_first,1.4057105779647827,30,64
10280,none,0,first_intext_warning,3.2321178913116455,32,64
10280,none,0,later_intext_warnings,2.117971738179525,144,64
10280,none,0,warning_after_claim,2.490553140640259,24,64
10280,truth,1,claim_first,1.8112140893936157,30,64
10280,truth,1,first_intext_warning,3.528959274291992,32,64
10280,truth,1,later_intext_warnings,2.44699098666509,144,64
10280,truth,1,warning_after_claim,2.8962154388427734,24,64
10280,truth,-1,claim_first,1.846436619758606,30,64
10280,truth,-1,first_intext_warning,3.424744129180908,32,64
10280,truth,-1,later_intext_warnings,2.1811442176500955,144,64
10280,truth,-1,warning_after_claim,2.5920917987823486,24,64
10280,random1,1,claim_first,2.159886121749878,30,64
10280,random1,1,first_intext_warning,3.0468595027923584,32,64
10280,random1,1,later_intext_warnings,2.2697884837786355,144,64
10280,random1,1,warning_after_claim,2.7046337127685547,24,64
10280,random1,-1,claim_first,1.4248297214508057,30,64
10280,random1,-1,first_intext_warning,3.362574815750122,32,64
10280,random1,-1,later_intext_warnings,2.1718487540880838,144,64
10280,random1,-1,warning_after_claim,2.3834280967712402,24,64
10280,random2,1,claim_first,2.013714075088501,30,64
10280,random2,1,first_intext_warning,3.6199493408203125,32,64
10280,random2,1,later_intext_warnings,2.3738988041877747,144,64
10280,random2,1,warning_after_claim,2.7492332458496094,24,64
10280,random2,-1,claim_first,1.9518483877182007,30,64
10280,random2,-1,first_intext_warning,3.157794713973999,32,64
10280,random2,-1,later_intext_warnings,2.1086735924084983,144,64
10280,random2,-1,warning_after_claim,2.5362863540649414,24,64
10280,random3,1,claim_first,1.920074701309204,30,64
10280,random3,1,first_intext_warning,3.4120469093322754,32,64
10280,random3,1,later_intext_warnings,2.1646624008814492,144,64
